game,installations,rating,reviews,in_app_purchases_min,in_app_purchases_max,game1,installations1,rating1,reviews1,in_app_purchases_min1,in_app_purchases_max1,game2,installations2,rating2,reviews2,in_app_purchases_min2,in_app_purchases_max2,game3,installations3,rating3,reviews3,in_app_purchases_min3,in_app_purchases_max3,game_game,game_fin,installations_fin,rating_fin,reviews_fin,in_app_purchases_min_fin,in_app_purchases_max_fin,game4,installations4,rating4,reviews4,in_app_purchases_min4,in_app_purchases_max4
0,None,0.0,0.0,0.0,0.0,Rail Rush,50000000.0,4.395349,925.0,1.99,79.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],Rail Rush,50000000.0,4,925,1.99,79.99,Rail Rush,50000000.0,4.395349,925.0,1.99,79.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Burrito Bison: Launcha Libre,10000000.0,4.75625,1208.0,1.09,32.99,[],Burrito Bison: Launcha Libre,0,4,1208,1.09,32.99,Burrito Bison: Launcha Libre,10000000.0,4.75625,1208.0,1.09,32.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],Pinatamasters,0,0,1262,2.29,109.99,Pinatamasters,10000000.0,3.97166,1262.0,2.29,109.99
Super Jungle Jump,1000000,4.142857,4.0,0.99,104.99,Super Jungle Jump,1000000.0,4.142857,4.0,0.99,104.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Super Jungle Jump,Super Jungle Jump,1000000,4,4,0.99,104.99,Super Jungle Jump,1000000.0,4.142857,4.0,0.99,104.99
0,None,0.0,0.0,0.0,0.0,Golden Axe Classics,1000000.0,4.2619047,14.0,1.99,4.99,0,,0.0,0.0,0.0,0.0,Golden Axe Classics,1000000.0,4.2619047,14.0,1.99,4.99,[],Golden Axe Classics,1000000.0,4,14,1.99,4.99,Golden Axe Classics,1000000.0,4.2619047,14.0,1.99,4.99
Dig Out! Gold Digger Adventure,5000000,4.1960783,108.0,0.99,109.99,0,,0.0,0.0,0.0,0.0,Dig Out! Gold Digger Adventure,5000000.0,4.1960783,108.0,0.99,109.99,Dig Out! Gold Digger Adventure,5000000.0,4.1960783,108.0,0.99,109.99,Dig Out! Gold Digger Adventure,Dig Out! Gold Digger Adventure,5000000,4,108,0.99,109.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,"Agent Dash - Run Fast, Dodge Quick!",10000000.0,4.4661655,547.0,0.99,59.99,"Agent Dash - Run Fast, Dodge Quick!",10000000.0,4.4661655,547.0,0.99,59.99,0,,0.0,0.0,0.0,0.0,[],"Agent Dash - Run Fast, Dodge Quick!",10000000.0,4,547,0.99,59.99,"Agent Dash - Run Fast, Dodge Quick!",10000000.0,4.4661655,547.0,0.99,59.99
Magic Brick Wars - Epic Card Battles,500000,3.2564104,16.0,0.99,99.99,Magic Brick Wars - Epic Card Battles,500000.0,3.2564104,16.0,0.99,99.99,Magic Brick Wars - Epic Card Battles,500000.0,3.2564104,16.0,0.99,99.99,Magic Brick Wars - Epic Card Battles,500000.0,3.2564104,16.0,0.99,99.99,Magic Brick Wars - Epic Card Battles,Magic Brick Wars - Epic Card Battles,500000,3,16,0.99,99.99,Magic Brick Wars - Epic Card Battles,500000.0,3.2564104,16.0,0.99,99.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],Lemmings,0,0,1303,0.89,89.99,Lemmings,5000000.0,4.2617645,1303.0,0.89,89.99
Stack,50000000,3.5273972,1425.0,2.0,0.0,0,,0.0,0.0,0.0,0.0,Stack,50000000.0,3.5273972,1425.0,2.0,0.0,0,,0.0,0.0,0.0,0.0,Stack,Stack,50000000,3,1425,2.0,2.0,0,,0.0,0.0,0.0,0.0
One Gun: Stickman,5000000,4.35,133.0,0.59,29.99,One Gun: Stickman,5000000.0,4.35,133.0,0.59,29.99,One Gun: Stickman,5000000.0,4.35,133.0,0.59,29.99,One Gun: Stickman,5000000.0,4.35,133.0,0.59,29.99,One Gun: Stickman,One Gun: Stickman,5000000,4,133,0.59,29.99,0,,0.0,0.0,0.0,0.0
Sonic Dash - Endless Running,100000000,4.542338,6895.0,0.99,99.99,Sonic Dash - Endless Running,100000000.0,4.5417314,6894.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Sonic Dash - Endless Running,Sonic Dash - Endless Running,100000000,4,6895,0.99,99.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],Crossy Road,0,0,18999,0.69,30.99,Crossy Road,100000000.0,4.4107823,18999.0,0.69,30.99
ZigZag,50000000,3.964048,2272.0,1.99,0.0,ZigZag,50000000.0,3.964048,2272.0,1.99,0.0,0,,0.0,0.0,0.0,0.0,ZigZag,50000000.0,3.964048,2272.0,1.99,0.0,ZigZag,ZigZag,50000000,3,2272,1.99,1.99,ZigZag,50000000.0,3.964048,2272.0,1.99,0.0
0,None,0.0,0.0,0.0,0.0,Tap Tap Dash,50000000.0,4.0612245,1856.0,0.99,4.99,0,,0.0,0.0,0.0,0.0,Tap Tap Dash,50000000.0,4.0612245,1856.0,0.99,4.99,[],Tap Tap Dash,50000000.0,4,1856,0.99,4.99,Tap Tap Dash,50000000.0,4.0612245,1856.0,0.99,4.99
0,None,0.0,0.0,0.0,0.0,Metal Soldiers 2,50000000.0,4.21,148.0,0.59,24.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],Metal Soldiers 2,50000000.0,4,148,0.59,24.99,Metal Soldiers 2,50000000.0,4.21,148.0,0.59,24.99
Ski Safari 2,10000000,4.43,204.0,0.89,8.99,Ski Safari 2,10000000.0,4.43,204.0,0.89,8.99,Ski Safari 2,10000000.0,4.43,204.0,0.89,8.99,Ski Safari 2,10000000.0,4.43,204.0,0.89,8.99,Ski Safari 2,Ski Safari 2,10000000,4,204,0.89,8.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0
Tower Conquest: Tower Defense,10000000,4.267327,192.0,2.09,219.99,Tower Conquest: Tower Defense,10000000.0,4.267327,192.0,2.09,219.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Tower Conquest: Tower Defense,Tower Conquest: Tower Defense,10000000,4,192,2.09,219.99,Tower Conquest: Tower Defense,10000000.0,4.267327,192.0,2.09,219.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Ramboat - Offline Action Game,10000000.0,4.38,112.0,2.49,59.99,0,,0.0,0.0,0.0,0.0,[],Ramboat - Offline Action Game,0,4,112,2.49,59.99,Ramboat - Offline Action Game,10000000.0,4.38,112.0,2.49,59.99
Bloody Harry,5000000,4.579861,1144.0,0.95,5.3,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Bloody Harry,Bloody Harry,5000000,4,1144,0.95,5.3,0,,0.0,0.0,0.0,0.0
Cut the Rope: Time Travel,50000000,4.559033,2477.0,0.88,29.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Cut the Rope: Time Travel,50000000.0,4.559033,2477.0,0.88,29.99,Cut the Rope: Time Travel,Cut the Rope: Time Travel,50000000,4,2477,0.88,29.99,0,,0.0,0.0,0.0,0.0
Hotel Transylvania Adventures,10000000,4.31,281.0,1.69,54.99,0,,0.0,0.0,0.0,0.0,Hotel Transylvania Adventures,10000000.0,4.31,281.0,1.69,54.99,0,,0.0,0.0,0.0,0.0,Hotel Transylvania Adventures,Hotel Transylvania Adventures,10000000,4,281,1.69,54.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,Slash & Girl - Endless Run,5000000.0,4.28,48.0,0.99,249.99,Slash & Girl - Endless Run,5000000.0,4.28,48.0,0.99,249.99,Slash & Girl - Endless Run,5000000.0,4.28,48.0,0.99,249.99,[],Slash & Girl - Endless Run,5000000.0,4,48,0.99,249.99,Slash & Girl - Endless Run,5000000.0,4.28,48.0,0.99,249.99
Badland Brawl,10000000,4.15,245.0,1.09,104.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Badland Brawl,Badland Brawl,10000000,4,245,1.09,104.99,0,,0.0,0.0,0.0,0.0
Leap Day,1000000,3.772277,214.0,1.09,54.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Leap Day,Leap Day,1000000,3,214,1.09,54.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0
Ninja Dash Run - Offline Games,10000000,4.23,121.0,1.99,79.99,Ninja Dash Run - Offline Games,10000000.0,4.23,121.0,1.99,79.99,0,,0.0,0.0,0.0,0.0,Ninja Dash Run - Offline Games,10000000.0,4.23,121.0,1.99,79.99,Ninja Dash Run - Offline Games,Ninja Dash Run - Offline Games,10000000,4,121,1.99,79.99,Ninja Dash Run - Offline Games,10000000.0,4.23,121.0,1.99,79.99
